tipo,lat,lng
Novo mobiliário,-25.42171668,-49.28331843,
Chapéu chinês,-25.50058979,-49.32239315,
Sem demarcação,-25.46020755,-49.23990893,
Placa em poste,-25.44981491,-49.24453843,
Novo mobiliário,-25.47865846,-49.340013,
Chapéu chinês,-25.41030639,-49.20429391,
Chapéu chinês,-25.58971566,-49.33903131,
Placa em cano,-25.4491433,-49.20304754,
Chapéu chinês,-25.47374422,-49.27766237,
Placa em poste,-25.38897224,-49.29483466,
Estação tubo,-25.47772497,-49.2851278,
Domus,-25.42999881,-49.27466098,
Novo mobiliário,-25.44934684,-49.29966185,
Especial Madrugueiro,-25.44313292,-49.21445847,
Chapéu chinês,-25.47739,-49.20262,
Chapéu chinês,-25.56880425,-49.33128643,
Novo mobiliário,-25.42022034,-49.23992219,
Chapéu chinês,-25.45833918,-49.23772562,
Domus,-25.37549615,-49.27490372,
Novo mobiliário,-25.50160421,-49.26598586,
Novo mobiliário,-25.49559,-49.21624,
Plataforma,-25.41291,-49.20507,
Novo mobiliário,-25.37803726,-49.24231527,
Plataforma,-25.51176764,-49.32439122,
Placa em cano,-25.52863518,-49.28854904,
Novo mobiliário,-25.44195825,-49.27306163,
Novo mobiliário,-25.53951,-49.2835,
Domus,-25.48956589,-49.28609222,
Especial Madrugueiro,-25.47688333,-49.24961954,
Novo mobiliário,-25.49098,-49.29956,
Sem demarcação,-25.376405,-49.23865871,
Chapéu chinês,-25.48448547,-49.22964023,
Novo mobiliário,-25.52633638,-49.26774989,
Novo mobiliário,-25.52818713,-49.2914056,
Chapéu chinês,-25.50383242,-49.22794889,
Chapéu chinês,-25.48159077,-49.33739756,
Novo mobiliário,-25.47649789,-49.3217872,
Especial Madrugueiro,-25.51175352,-49.32385772,
Novo mobiliário,-25.41577454,-49.21552318,
Novo mobiliário,-25.40349791,-49.27358414,
Chapéu chinês,-25.46032379,-49.24950051,
Chapéu chinês,-25.56221783,-49.25285831,
Chapéu chinês,-25.44819649,-49.33469082,
Placa em poste,-25.42967,-49.21381,
Sem demarcação,-25.5161131,-49.26719606,
Chapéu chinês,-25.36962041,-49.26526788,
Domus,-25.40473969,-49.30301595,
Sem demarcação,-25.48896329,-49.29724115,
Estação tubo,-25.43881274,-49.22635846,
Domus,-25.47806886,-49.30784258,
Chapéu chinês,-25.43072672,-49.27371684,
Sem demarcação,-25.45822583,-49.30749524,
Domus,-25.49763968,-49.29402962,
Domus,-25.53737,-49.28222,
Novo mobiliário,-25.43054262,-49.2039043,
Novo mobiliário,-25.51078585,-49.25612755,
Novo mobiliário,-25.48513668,-49.23877041,
Novo mobiliário,-25.50322819,-49.25924466,
Domus,-25.53116612,-49.32520586,
Placa em cano,-25.50017332,-49.21134915,
Plataforma,-25.53415548,-49.26730939,
Sem demarcação,-25.47603014,-49.33861529,
Placa em cano,-25.57252301,-49.27927169,
Chapéu chinês,-25.40103509,-49.34784459,
Chapéu chinês,-25.40102303,-49.19751796,
Plataforma,-25.51655439,-49.23096598,
Sem demarcação,-25.39464748,-49.30334293,
Sem demarcação,-25.47724769,-49.28677651,
Chapéu chinês,-25.48744958,-49.31891031,
Novo mobiliário,-25.40123727,-49.20634487,
Novo mobiliário,-25.41044538,-49.34634435,
Novo mobiliário,-25.45153371,-49.29458442,
Estação tubo,-25.43038226,-49.29258752,
Plataforma,-25.47734278,-49.32705831,
Sem demarcação,-25.36762439,-49.22690693,
Placa em poste,-25.39507,-49.21898,
Sem demarcação,-25.37927361,-49.27824843,
Domus,-25.51040398,-49.28798318,
Sem demarcação,-25.45133766,-49.30565792,
Domus,-25.54302569,-49.27630579,
Domus,-25.5089921,-49.33918682,
Especial Madrugueiro,-25.51165185,-49.29571733,
Chapéu chinês,-25.40777364,-49.29784298,
Chapéu chinês,-25.49062782,-49.34710074,
Novo mobiliário,-25.45515547,-49.2172628,
Novo mobiliário,-25.42897,-49.2492,
Chapéu chinês,-25.40076544,-49.29486085,
Chapéu chinês,-25.46962,-49.20589,
Sem demarcação,-25.56520487,-49.3339549,
Novo mobiliário,-25.44651677,-49.27578884,
Chapéu chinês,-25.39614803,-49.20826289,
Chapéu chinês,-25.55966774,-49.33859277,
Sem demarcação,-25.54143995,-49.3221956,
Novo mobiliário,-25.41744685,-49.24645755,
Chapéu chinês,-25.36970281,-49.26522094,
Novo mobiliário,-25.48012821,-49.34246051,
Sem demarcação,-25.39981866,-49.26076311,
Chapéu chinês,-25.57730135,-49.33216351,
Novo mobiliário,-25.44059241,-49.28300533,
Chapéu chinês,-25.48289462,-49.32378228,
Sem demarcação,-25.37084814,-49.22793421,
Placa em poste,-25.49473952,-49.33787218,
Novo mobiliário,-25.45215111,-49.26975283,
Sem demarcação,-25.36489783,-49.22762442,
Estação tubo,-25.43306606,-49.26515344,
Chapéu chinês,-25.56861163,-49.31999534,
Estação tubo,-25.53467196,-49.26844864,
Sem demarcação,-25.56133975,-49.26833633,
Novo mobiliário,-25.46536338,-49.34514781,
Domus,-25.51795103,-49.31085157,
Novo mobiliário,-25.47716574,-49.30886671,
Chapéu chinês,-25.52828357,-49.26172968,
Estação tubo,-25.42883041,-49.25818163,
Placa em poste,-25.42629386,-49.3006216,
Chapéu chinês,-25.39965696,-49.20146,
Chapéu chinês,-25.45509024,-49.19600004,
Chapéu chinês,-25.49766,-49.21783,
Linha Turismo,-25.37838458,-49.28084314,
Placa em poste,-25.57263673,-49.33226544,
Chapéu chinês,-25.59134009,-49.29799083,
Plataforma,-25.51210436,-49.29501831,
Plataforma,-25.51225196,-49.29558014,
Plataforma,-25.51238004,-49.29501863,
Domus,-25.44196084,-49.36729413,
Novo mobiliário,-25.44804039,-49.28926426,
Domus,-25.42388665,-49.21602586,
Chapéu chinês,-25.50345,-49.27671,
Chapéu chinês,-25.39634,-49.20217,
Chapéu chinês,-25.47239547,-49.30243257,
Placa em cano,-25.46532549,-49.25749719,
Plataforma,-25.47734874,-49.32669805,
Novo mobiliário,-25.43955569,-49.31076083,
Chapéu chinês,-25.41689121,-49.20935609,
Novo mobiliário,-25.56146074,-49.29136577,
Domus,-25.5401591,-49.27394545,
Sem demarcação,-25.55714277,-49.28232271,
Novo mobiliário,-25.48640637,-49.29958329,
Sem demarcação,-25.50088942,-49.24251805,
Novo mobiliário,-25.45193708,-49.29986569,
Chapéu chinês,-25.49573905,-49.22963659,
Especial Madrugueiro,-25.43752813,-49.32423055,
Chapéu chinês,-25.46873,-49.19958,
Chapéu chinês,-25.48841,-49.31114,
Plataforma,-25.37708635,-49.22481327,
Especial Madrugueiro,-25.48452378,-49.29372445,
Sem demarcação,-25.55995542,-49.31140557,
Sem demarcação,-25.44951611,-49.35880959,
Novo mobiliário,-25.41531106,-49.24138784,
Estação tubo,-25.41983041,-49.26890793,
Novo mobiliário,-25.41395,-49.25893,
Placa em cano,-25.4221027,-49.27558735,
Novo mobiliário,-25.44647,-49.25388,
Novo mobiliário,-25.42619,-49.24874,
Domus,-25.53836121,-49.26899391,
Domus,-25.36977794,-49.26918525,
Novo mobiliário,-25.48658,-49.22328,
Chapéu chinês,-25.49440106,-49.34554371,
Chapéu chinês,-25.40963982,-49.21666357,
Placa em cano,-25.52621746,-49.28352267,
Novo mobiliário,-25.51391423,-49.31778257,
Domus,-25.54259964,-49.31385408,
Chapéu chinês,-25.47283,-49.24468,
Placa em cano,-25.41948422,-49.22434273,
Plataforma,-25.46900229,-49.20829802,
Chapéu chinês,-25.48979574,-49.20485525,
Chapéu chinês,-25.52222029,-49.26368328,
Sem demarcação,-25.46339207,-49.24493405,
Domus,-25.5244828,-49.23540195,
Chapéu chinês,-25.46401081,-49.29277796,
Domus,-25.36804532,-49.22019981,
Sem demarcação,-25.48830136,-49.35485051,
Domus,-25.45896605,-49.35909793,
Novo mobiliário,-25.3891934,-49.27220769,
Sem demarcação,-25.56475509,-49.26471266,
Chapéu chinês,-25.37572759,-49.31131336,
Novo mobiliário,-25.42861777,-49.26711056,
Chapéu chinês,-25.39491396,-49.21905659,
Novo mobiliário,-25.44921749,-49.26025226,
Chapéu chinês,-25.36854438,-49.2451591,
Especial Madrugueiro,-25.40340205,-49.24977779,
Chapéu chinês,-25.59584009,-49.34679362,
Chapéu chinês,-25.44032516,-49.33586496,
Domus,-25.4349947,-49.37177207,
Estação tubo,-25.46929551,-49.25385538,
Chapéu chinês,-25.39861948,-49.32397875,
Novo mobiliário,-25.43207377,-49.29933038,
Novo mobiliário,-25.42127817,-49.29231604,
Novo mobiliário,-25.44319351,-49.27632454,
Chapéu chinês,-25.43652924,-49.22102484,
Novo mobiliário,-25.51072,-49.26129,
Novo mobiliário,-25.39347,-49.25333,
Domus,-25.51331078,-49.24048784,
Chapéu chinês,-25.51487303,-49.23918659,
Plataforma,-25.48145293,-49.24696314,
Novo mobiliário,-25.48415426,-49.22354026,
Estação tubo,-25.41562641,-49.266381,
Especial Madrugueiro,-25.46534728,-49.20980752,
Placa em cano,-25.57309495,-49.33863938,
Domus,-25.35660065,-49.25072949,
Chapéu chinês,-25.48908193,-49.30146563,
Chapéu chinês,-25.42389559,-49.35867447,
Especial Madrugueiro,-25.53483859,-49.26904678,
Placa em cano,-25.37815275,-49.2416472,
Chapéu chinês,-25.48594,-49.34755,
Plataforma,-25.51661832,-49.23030031,
Especial Madrugueiro,-25.38439923,-49.23203766,
Placa em poste,-25.40784679,-49.26677437,
Sem demarcação,-25.52813103,-49.27292022,
Novo mobiliário,-25.45658685,-49.26755865,
Domus,-25.5200262,-49.34640873,
Novo mobiliário,-25.47708368,-49.3145972,
Sem demarcação,-25.39959105,-49.30317286,
Placa em cano,-25.41935946,-49.23598352,
Sem demarcação,-25.48719713,-49.32607288,
Chapéu chinês,-25.44663302,-49.20629147,
Sem demarcação,-25.44899203,-49.24636904,
Placa em poste,-25.53195343,-49.28488648,
Domus,-25.503727,-49.27647609,
Novo mobiliário,-25.49648753,-49.24673058,
Novo mobiliário,-25.51196948,-49.25877012,
Sem demarcação,-25.46781092,-49.23092823,
Sem demarcação,-25.45903106,-49.31018147,
Novo mobiliário,-25.38052351,-49.23701532,
Novo mobiliário,-25.45018883,-49.25516644,
Chapéu chinês,-25.49266332,-49.20512793,
Chapéu chinês,-25.42363453,-49.34738647,
Sem demarcação,-25.3516406,-49.27128073,
Sem demarcação,-25.35091,-49.26505,
Novo mobiliário,-25.44029933,-49.26867294,
Novo mobiliário,-25.48603004,-49.32904142,
Sem demarcação,-25.37562452,-49.23730959,
Placa em cano,-25.47057,-49.20957,
Novo mobiliário,-25.43060681,-49.25701472,
Sem demarcação,-25.44523681,-49.33865512,
Plataforma,-25.40641737,-49.25220998,
Sem demarcação,-25.5070101,-49.26561087,
Chapéu chinês,-25.37950977,-49.24662702,
Chapéu chinês,-25.57310705,-49.33849186,
Placa em cano,-25.41914844,-49.31988671,
Domus,-25.48762,-49.30527,
Sem demarcação,-25.47346697,-49.30415991,
Chapéu chinês,-25.45617326,-49.19509459,
Placa em cano,-25.50497559,-49.27487053,
Especial Madrugueiro,-25.43489882,-49.30422395,
Novo mobiliário,-25.45082555,-49.20840647,
Especial Madrugueiro,-25.45251928,-49.21431229,
Sem demarcação,-25.46262077,-49.23828218,
Chapéu chinês,-25.4497974,-49.32699959,
Chapéu chinês,-25.55980808,-49.33217827,
Novo mobiliário,-25.41910273,-49.29335539,
Chapéu chinês,-25.48010702,-49.22010552,
Chapéu chinês,-25.51211905,-49.267157,
Novo mobiliário,-25.44780005,-49.27082639,
Novo mobiliário,-25.39346046,-49.29359223,
Chapéu chinês,-25.42379386,-49.32122717,
Novo mobiliário,-25.41758857,-49.24648169,
Placa em poste,-25.59787747,-49.27717823,
Plataforma,-25.41306,-49.20572,
Chapéu chinês,-25.47293156,-49.2528677,
Novo mobiliário,-25.39783246,-49.23479303,
Estação tubo,-25.44106064,-49.34250651,
Chapéu chinês,-25.41873741,-49.35831639,
Estação tubo,-25.51253714,-49.23218524,
Plataforma,-25.53426588,-49.26777842,
Novo mobiliário,-25.44282446,-49.28290714,
Chapéu chinês,-25.38803431,-49.36083499,
Domus,-25.37280935,-49.22730104,
Placa em cano,-25.46420558,-49.26416029,
Novo mobiliário,-25.47722278,-49.30842379,
Estação tubo,-25.43994918,-49.33696157,
Novo mobiliário,-25.43129625,-49.27570067,
Sem demarcação,-25.43279761,-49.3745723,
Domus,-25.49259083,-49.31257895,
Novo mobiliário,-25.40856031,-49.20306096,
Chapéu chinês,-25.50513519,-49.35617566,
Novo mobiliário,-25.42089898,-49.26091465,
Sem demarcação,-25.41390956,-49.24074143,
Sem demarcação,-25.5027446,-49.35434908,
Chapéu chinês,-25.42680512,-49.34280452,
Placa em cano,-25.47287344,-49.29554835,
Estação tubo,-25.442222,-49.21773386,
Placa em poste,-25.42774758,-49.24644367,
Chapéu chinês,-25.49953597,-49.34673553,
Plataforma,-25.50161579,-49.23753557,
Novo mobiliário,-25.45723222,-49.31077654,
Estação tubo,-25.38427191,-49.23192669,
Chapéu chinês,-25.47683966,-49.271272,
Chapéu chinês,-25.3764248,-49.2569988,
Chapéu chinês,-25.56495471,-49.32897437,
Domus,-25.422172,-49.19922385,
Chapéu chinês,-25.45991452,-49.23114884,
Sem demarcação,-25.39386,-49.22579,
Sem demarcação,-25.50225,-49.22298,
Chapéu chinês,-25.54045,-49.32539,
Novo mobiliário,-25.50506223,-49.26355992,
Novo mobiliário,-25.41671972,-49.2820005,
Sem demarcação,-25.49660176,-49.34750667,
Plataforma,-25.49232274,-49.29366816,
Novo mobiliário,-25.39413885,-49.2727582,
Domus,-25.54573788,-49.31772803,
Novo mobiliário,-25.44877647,-49.28171806,
Novo mobiliário,-25.41741535,-49.23979494,
Novo mobiliário,-25.44780526,-49.24722734,
Novo mobiliário,-25.48853109,-49.29971633,
Sem demarcação,-25.47692234,-49.31624863,
Novo mobiliário,-25.39374595,-49.27289877,
Sem demarcação,-25.49166,-49.20084,
Placa em cano,-25.5652995,-49.33929685,
Chapéu chinês,-25.41836938,-49.20913866,
Chapéu chinês,-25.56623562,-49.3244344,
Chapéu chinês,-25.38433031,-49.28589414,
Chapéu chinês,-25.3953,-49.22458,
Plataforma,-25.48356692,-49.35030987,
Placa em poste,-25.38749823,-49.27507842,
Novo mobiliário,-25.39675621,-49.34487182,
Chapéu chinês,-25.3648954,-49.22772902,
Novo mobiliário,-25.47505,-49.29648,
Placa em cano,-25.48202,-49.30484,
Chapéu chinês,-25.39372615,-49.34451865,
Sem demarcação,-25.55368,-49.24703,
Estação tubo,-25.39110581,-49.25813522,
Placa em cano,-25.43298363,-49.27784723,
Novo mobiliário,-25.4874198,-49.31975696,
Novo mobiliário,-25.40171,-49.24042,
Chapéu chinês,-25.51415974,-49.22085391,
Chapéu chinês,-25.42516737,-49.2061882,
Novo mobiliário,-25.43390488,-49.29412047,
Domus,-25.54256909,-49.30308905,
Placa em cano,-25.56614368,-49.32448268,
Chapéu chinês,-25.49225479,-49.34736091,
Domus,-25.49116142,-49.32830576,
Sem demarcação,-25.38730761,-49.24249825,
Novo mobiliário,-25.38813725,-49.26700222,
Novo mobiliário,-25.47605799,-49.33662375,
Plataforma,-25.46911493,-49.20796294,
Plataforma,-25.51322,-49.29482,
Placa em poste,-25.39541,-49.22455,
Placa em poste,-25.48857166,-49.22624317,
Chapéu chinês,-25.37737969,-49.31704146,
Chapéu chinês,-25.52660392,-49.29493538,
Chapéu chinês,-25.3961654,-49.3583409,
Novo mobiliário,-25.53000465,-49.28915682,
Chapéu chinês,-25.49683418,-49.34945529,
Domus,-25.41801,-49.21832,
Novo mobiliário,-25.41782356,-49.24184415,
Chapéu chinês,-25.46283431,-49.3290302,
Estação tubo,-25.46297643,-49.25624564,
Sem demarcação,-25.55670414,-49.2550047,
Chapéu chinês,-25.54653857,-49.31572258,
Domus,-25.41090906,-49.29658771,
Placa em poste,-25.55883388,-49.25869614,
Placa em cano,-25.55757,-49.2479,
Chapéu chinês,-25.53274123,-49.27937186,
Especial Madrugueiro,-25.43573812,-49.26093578,
Chapéu chinês,-25.47931,-49.20105,
Novo mobiliário,-25.41235447,-49.22696728,
Chapéu chinês,-25.36087893,-49.32896644,
Chapéu chinês,-25.4380939,-49.21745391,
Novo mobiliário,-25.39120603,-49.25677975,
Novo mobiliário,-25.46066849,-49.24881846,
Placa em cano,-25.49944518,-49.34469303,
Domus,-25.42622696,-49.34625694,
Chapéu chinês,-25.5211979,-49.25069501,
Sem demarcação,-25.48092967,-49.27815724,
Chapéu chinês,-25.48449208,-49.32144499,
Chapéu chinês,-25.40885,-49.20079,
Chapéu chinês,-25.54969,-49.25986,
Domus,-25.54800776,-49.28808409,
Sem demarcação,-25.44691492,-49.36142206,
Chapéu chinês,-25.52089822,-49.25323609,
Novo mobiliário,-25.51373026,-49.30394103,
Novo mobiliário,-25.41513326,-49.2135227,
Novo mobiliário,-25.48540174,-49.2965411,
Domus,-25.54478541,-49.28597319,
Chapéu chinês,-25.42661234,-49.21027455,
Especial Madrugueiro,-25.49564641,-49.29448351,
Chapéu chinês,-25.47545396,-49.28675774,
Novo mobiliário,-25.39364983,-49.33568614,
Placa em poste,-25.50401941,-49.22195207,
Placa em poste,-25.38232976,-49.30046886,
Chapéu chinês,-25.45726766,-49.20136882,
Estação tubo,-25.48107074,-49.29250833,
Estação tubo,-25.44833,-49.28786859,
Placa em cano,-25.45408146,-49.20289557,
Domus,-25.60060117,-49.32441327,
Chapéu chinês,-25.46682934,-49.23538701,
Chapéu chinês,-25.52354074,-49.33398071,
Chapéu chinês,-25.41447907,-49.35356695,
Domus,-25.36782477,-49.21636157,
Chapéu chinês,-25.52774223,-49.23622694,
Chapéu chinês,-25.47805321,-49.34550991,
Novo mobiliário,-25.45212,-49.26918,
Chapéu chinês,-25.49524952,-49.21136437,
Novo mobiliário,-25.4523955,-49.2713418,
Domus,-25.49373115,-49.33528264,
Novo mobiliário,-25.38041784,-49.26155613,
Domus,-25.55294024,-49.30500976,
Domus,-25.43253417,-49.33888904,
Chapéu chinês,-25.369523,-49.24368402,
Sem demarcação,-25.39443234,-49.26157759,
Sem demarcação,-25.41705,-49.21413904,
Chapéu chinês,-25.5641275,-49.31548086,
Novo mobiliário,-25.43293585,-49.27052501,
Domus,-25.54162568,-49.27941045,
Chapéu chinês,-25.42191,-49.32938,
Especial Madrugueiro,-25.46295712,-49.25645113,
Sem demarcação,-25.47470926,-49.34190502,
Novo mobiliário,-25.44768182,-49.34952746,
Placa em cano,-25.50347,-49.2516,
Novo mobiliário,-25.45377293,-49.34901516,
Domus,-25.40109306,-49.20137012,
Chapéu chinês,-25.49799625,-49.21985674,
Sem demarcação,-25.48133211,-49.20447315,
Chapéu chinês,-25.49570841,-49.33530304,
Novo mobiliário,-25.40321727,-49.25145195,
Estação tubo,-25.48442248,-49.29368962,
Estação tubo,-25.43796834,-49.31409884,
Sem demarcação,-25.41150142,-49.23785269,
Domus,-25.54931789,-49.31339711,
Chapéu chinês,-25.51446008,-49.27450675,
Novo mobiliário,-25.42702,-49.24972,
Novo mobiliário,-25.48985312,-49.21441705,
Chapéu chinês,-25.55067766,-49.30447197,
Novo mobiliário,-25.53746,-49.28011,
Novo mobiliário,-25.39779,-49.25883,
Sem demarcação,-25.38272623,-49.25822038,
Estação tubo,-25.44213241,-49.21769497,
Chapéu chinês,-25.51493489,-49.24427966,
Domus,-25.41131,-49.36153,
Domus,-25.49257026,-49.30582515,
Chapéu chinês,-25.36648028,-49.26678644,
Estação tubo,-25.44337267,-49.28173614,
Plataforma,-25.3771977,-49.22392093,
Novo mobiliário,-25.44221516,-49.26966252,
Novo mobiliário,-25.38598,-49.24697,
Domus,-25.40076499,-49.20917887,
Plataforma,-25.53440854,-49.26817892,
Chapéu chinês,-25.46028378,-49.35234982,
Novo mobiliário,-25.44944,-49.21982708,
Novo mobiliário,-25.43385147,-49.21226207,
Chapéu chinês,-25.51656,-49.30971,
Novo mobiliário,-25.44406121,-49.25371746,
Novo mobiliário,-25.37256,-49.26282,
Novo mobiliário,-25.42843882,-49.27088308,
Novo mobiliário,-25.43459298,-49.29071245,
Placa em cano,-25.51901,-49.33064,
Placa em cano,-25.48326101,-49.2025405,
Novo mobiliário,-25.38205868,-49.23860721,
Novo mobiliário,-25.43429429,-49.30644169,
Novo mobiliário,-25.4514671,-49.28874794,
Plataforma,-25.47729305,-49.32736866,
Especial Madrugueiro,-25.43004941,-49.271328,
Novo mobiliário,-25.50184,-49.22257,
Especial Madrugueiro,-25.43990911,-49.33686778,
Chapéu chinês,-25.35975233,-49.23169721,
Sem demarcação,-25.48654889,-49.25563276,
Especial Madrugueiro,-25.39583399,-49.24258947,
Chapéu chinês,-25.57912554,-49.29411772,
Domus,-25.55875,-49.23092,
Novo mobiliário,-25.45292759,-49.27997907,
Novo mobiliário,-25.43571412,-49.27480733,
Fora do padrão,-25.44254456,-49.36379518,
Sem demarcação,-25.45231618,-49.32844261,
Novo mobiliário,-25.38898635,-49.26437475,
Chapéu chinês,-25.54552644,-49.24527207,
Plataforma,-25.47728358,-49.32717195,
Novo mobiliário,-25.35908971,-49.26326157,
Chapéu chinês,-25.37448343,-49.20818273,
Novo mobiliário,-25.46406407,-49.22287412,
Placa em cano,-25.48315,-49.22625,
Novo mobiliário,-25.41568319,-49.32793233,
Estação tubo,-25.47259721,-49.29437216,
Novo mobiliário,-25.41827295,-49.22788862,
Especial Madrugueiro,-25.48119817,-49.29251343,
Novo mobiliário,-25.43675303,-49.26404849,
Sem demarcação,-25.41642479,-49.21055904,
Placa em poste,-25.41146534,-49.32681117,
Estação tubo,-25.43134997,-49.2788707,
Novo mobiliário,-25.53903534,-49.28164904,
Plataforma,-25.40074858,-49.33044376,
Novo mobiliário,-25.39870307,-49.31471977,
Placa em cano,-25.39592121,-49.29486609,
Especial Madrugueiro,-25.42952861,-49.28368226,
Novo mobiliário,-25.45878647,-49.26284048,
Estação tubo,-25.42951258,-49.28379022,
Chapéu chinês,-25.55533973,-49.33705688,
Plataforma,-25.5118028,-49.32425076,
Sem demarcação,-25.40915648,-49.35505617,
Chapéu chinês,-25.55273115,-49.31057811,
Especial Madrugueiro,-25.51167727,-49.29581389,
Chapéu chinês,-25.56057786,-49.31451794,
Chapéu chinês,-25.59944658,-49.33082633,
Chapéu chinês,-25.51524437,-49.32815629,
Chapéu chinês,-25.48151329,-49.33976327,
Chapéu chinês,-25.47060094,-49.30133694,
Plataforma,-25.44153907,-49.34718169,
Novo mobiliário,-25.48285701,-49.3259542,
Placa em poste,-25.53586223,-49.23895318,
Novo mobiliário,-25.41659283,-49.34976685,
Novo mobiliário,-25.39505889,-49.34755537,
Novo mobiliário,-25.4203857,-49.27093584,
Chapéu chinês,-25.36630981,-49.27252996,
Domus,-25.53925519,-49.28082263,
Placa em poste,-25.36794826,-49.2503187,
Novo mobiliário,-25.48004831,-49.31499201,
Placa em cano,-25.44738263,-49.25600755,
Chapéu chinês,-25.42442456,-49.32490694,
Novo mobiliário,-25.53844146,-49.27897122,
Chapéu chinês,-25.49390354,-49.32949161,
Chapéu chinês,-25.58690194,-49.32229131,
Sem demarcação,-25.58360457,-49.32596862,
Especial Madrugueiro,-25.45095231,-49.21536237,
Novo mobiliário,-25.46877753,-49.31341128,
Sem demarcação,-25.43379619,-49.25117662,
Chapéu chinês,-25.49569752,-49.33519039,
Chapéu chinês,-25.41903121,-49.34359107,
Novo mobiliário,-25.46099077,-49.32859177,
Chapéu chinês,-25.47696229,-49.19251832,
Plataforma,-25.51717175,-49.22983485,
Chapéu chinês,-25.53886309,-49.24461426,
Novo mobiliário,-25.53958,-49.28338,
Chapéu chinês,-25.59335395,-49.27695561,
Placa em cano,-25.52739887,-49.27171591,
Chapéu chinês,-25.37813,-49.19685,
Chapéu chinês,-25.43594566,-49.27634406,
Plataforma,-25.51260369,-49.29483974,
Placa em cano,-25.48555159,-49.2077972,
Domus,-25.38812162,-49.2829473,
Novo mobiliário,-25.43975673,-49.27324002,
Chapéu chinês,-25.37323987,-49.33174195,
Sem demarcação,-25.46899203,-49.37330592,
Novo mobiliário,-25.4175595,-49.23973727,
Chapéu chinês,-25.56680906,-49.31686521,
Estação tubo,-25.44120734,-49.27585257,
Chapéu chinês,-25.4603696,-49.32528058,
Novo mobiliário,-25.4082204,-49.27620797,
Novo mobiliário,-25.4533969,-49.2399949,
Domus,-25.49104883,-49.28796843,
Chapéu chinês,-25.55943397,-49.31826264,
Chapéu chinês,-25.58845,-49.34119,
Plataforma,-25.4402739,-49.2212354,
Novo mobiliário,-25.38537457,-49.2809272,
Novo mobiliário,-25.5090087,-49.33052603,
Chapéu chinês,-25.56015655,-49.28370538,
Chapéu chinês,-25.38205183,-49.21908743,
Placa em cano,-25.37210683,-49.24341006,
Chapéu chinês,-25.42804758,-49.34161843,
Chapéu chinês,-25.44084495,-49.25709117,
Novo mobiliário,-25.56705007,-49.28679931,
Plataforma,-25.44000565,-49.22156708,
Novo mobiliário,-25.44882245,-49.27345325,
Placa em cano,-25.48182,-49.19569,
Novo mobiliário,-25.43017564,-49.27183125,
Novo mobiliário,-25.53679655,-49.27428633,
Novo mobiliário,-25.38758814,-49.25995308,
Domus,-25.55511434,-49.25256657,
Novo mobiliário,-25.47490167,-49.27509818,
Novo mobiliário,-25.43108522,-49.25145048,
Domus,-25.4779059,-49.26639575,
Placa em poste,-25.56985553,-49.28210545,
Chapéu chinês,-25.56228373,-49.31302127,
Novo mobiliário,-25.43543436,-49.27373043,
Chapéu chinês,-25.47162154,-49.22021449,
Domus,-25.47981,-49.34922,
Plataforma,-25.51666774,-49.23090414,
Domus,-25.50613932,-49.3009113,
Domus,-25.52875378,-49.27752114,
Chapéu chinês,-25.45756642,-49.32376648,
Novo mobiliário,-25.39342544,-49.28399363,
Placa em cano,-25.45993991,-49.35268644,
Chapéu chinês,-25.45233434,-49.32869206,
Placa em cano,-25.38626,-49.28241,
Novo mobiliário,-25.42915224,-49.27648103,
Sem demarcação,-25.5143695,-49.22102399,
Chapéu chinês,-25.4729382,-49.19455339,
Novo mobiliário,-25.47413,-49.31821,
Sem demarcação,-25.46305641,-49.35348876,
Novo mobiliário,-25.47823109,-49.33976355,
Novo mobiliário,-25.50036516,-49.29128854,
Chapéu chinês,-25.56057876,-49.28946275,
Chapéu chinês,-25.50766106,-49.32730665,
Domus,-25.40755863,-49.31310374,
Chapéu chinês,-25.48334,-49.30729,
Chapéu chinês,-25.39013028,-49.33523016,
Novo mobiliário,-25.41118553,-49.32021561,
Novo mobiliário,-25.53910089,-49.28153659,
Novo mobiliário,-25.39816135,-49.26470371,
Chapéu chinês,-25.51144031,-49.33288369,
Chapéu chinês,-25.5184589,-49.27689526,
Novo mobiliário,-25.43427156,-49.21345012,
Novo mobiliário,-25.43068554,-49.24099791,
Domus,-25.5509015,-49.30504731,
Chapéu chinês,-25.48918604,-49.3069427,
Chapéu chinês,-25.48245387,-49.31248951,
Chapéu chinês,-25.60137279,-49.27723992,
Sem demarcação,-25.38273851,-49.28788829,
Domus,-25.40967131,-49.21493489,
Chapéu chinês,-25.4883522,-49.35478211,
Novo mobiliário,-25.44450368,-49.34424955,
Estação tubo,-25.43564478,-49.26077879,
Novo mobiliário,-25.46203657,-49.33229235,
Domus,-25.49264153,-49.23246391,
Domus,-25.57596344,-49.26334205,
Chapéu chinês,-25.38827899,-49.33525698,
Novo mobiliário,-25.44274929,-49.25090063,
Chapéu chinês,-25.3540033,-49.26055524,
Domus,-25.54666171,-49.319794,
Chapéu chinês,-25.57140069,-49.3165752,
Sem demarcação,-25.35686461,-49.23504896,
Chapéu chinês,-25.5216808,-49.26150958,
Novo mobiliário,-25.45017817,-49.24506213,
Chapéu chinês,-25.38681575,-49.30320774,
Estação tubo,-25.43759253,-49.26672726,
Novo mobiliário,-25.53325312,-49.26363306,
